ticker,Société,Secteur d'activité,Pays,Introduction à la BRVM,Nombre de titres,Flottant,Site Web,Présentation,Déterminants Sectoriel,Logo_Path
SICC,Société Ivoirienne de Coco Râpé (SICOR),Consommation de base,Côte d'Ivoire,16 Septembre 1998,600000,12.26,,,,logos_richbourse/SICC.png
SIVC,Air Liquide Côte d'Ivoire,Industriels,Côte d'Ivoire,19 Avril 1999,8734000,27.92,http://www.ci.airliquide.com/,,,logos_richbourse/SIVC.png
SLBC,Société de Limonaderies et Brasseries d'Afrique (SOLIBRA),Consommation de base,Côte d'Ivoire,16 Septembre 1998,16460840,18.6,https://www.solibra.ci/,,,logos_richbourse/SLBC.png
SMBC,Société Multinationale de Bitume de Côte d'Ivoire (SMB),Energie,Côte d'Ivoire,16 Septembre 1998,7795200,51.77,http://smb.ci/,,,logos_richbourse/SMBC.png
SNTS,Société Nationale de Télécommunication du Sénégal (SONATEL),Télécommunications,Sénégal,02 Octobre 1998,100000000,30.51,https://sonatel.sn/,,,logos_richbourse/SNTS.png
SOGC,Société des Caoutchoucs de Grand-Béréby de Côte d'Ivoire (SOGB),Consommation de base,Côte d'Ivoire,16 Septembre 1998,21601840,26.8,https://www.sogbci.com/,,,logos_richbourse/SOGC.png
SPHC,Société Africaine de Plantation d'Hévéas de Côte d'Ivoire (SAPH),Consommation de base,Côte d'Ivoire,16 Septembre 1998,25558005,59.49,https://www.groupesifca.com/saph.php,,,logos_richbourse/SPHC.png
STAC,Société d'Etudes et de Travaux pour l'Afrique de l'Ouest (SETAO),Industriels,Côte d'Ivoire,16 Septembre 1998,13440000,20.83,https://www.setao.ci/,,,logos_richbourse/STAC.png
STBC,Société Ivoirienne des Tabacs (SITAB),Consommation de base,Côte d'Ivoire,16 Septembre 1998,17955000,26.36,,,,logos_richbourse/STBC.png
SVOC,Société Ivoirienne d'Opérations Maritimes (SIVOM),Industriels,Côte d'Ivoire,16 Septembre 1998,835625,6.91,https://www.movis.online/fr/,,,logos_richbourse/SVOC.png
TTLC,TOTAL Côte d'Ivoire,Energie,Côte d'Ivoire,16 Septembre 1998,62961600,27.01,https://totalenergies.ci/,,,logos_richbourse/TTLC.png
TTLS,TOTAL Sénégal,Energie,Sénégal,19 Février 2015,32577700,30.86,https://totalenergies.sn/,,,logos_richbourse/TTLS.png
UNLC,Huilerie-Savonnerie Lipochimie (UNILEVER),Consommation de base,Côte d'Ivoire,16 Septembre 1998,9183400,0.22,https://www.unilever.com/,,,logos_richbourse/UNLC.png
UNXC,UNIWAX,Consommation discrétionnaire,Côte d'Ivoire,16 Septembre 1998,20750000,27.71,https://www.uniwax.com/,,,logos_richbourse/UNXC.png
