Ticker,Type,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
STBC,Semestriel,S1,1ersemestre2017,* Données semestrielles en milliers de XOF,30413897,-873749,609392,,,-281857,,,,,,,,-264357,
STBC,Semestriel,S1,1ersemestre2016,* Données semestrielles en milliers de XOF,47890033,7396535,146220,,,5660669,,,,,,,,7547558,
STBC,Trimestriel,T1,1ertrimestre2025,* Données trimestrielles en milliers de XOF,61423555,12354560,,,,9405856,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2024,* Données trimestrielles en milliers de XOF,45603711,5291394,,,,3840367,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2023,* Données trimestrielles en milliers de XOF,38747080,3458015,,,,3098054,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2022,* Données trimestrielles en milliers de XOF,35055152,3569196,,,,3578331,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2021,* Données trimestrielles en milliers de XOF,32763978,2551946,,,,2559474,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2020,* Données trimestrielles en milliers de XOF,27403060,942586,,,,953823,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2019,* Données trimestrielles en milliers de XOF,22654373,1059350,,,,1079890,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2017,* Données trimestrielles en milliers de XOF,13716575,-563909,,,,-561339,,,,,,,,,
STBC,Trimestriel,T1,1ertrimestre2016,* Données trimestrielles en milliers de XOF,23697149,4967242,,,,3767248,,,,,,,,,
STBC,Trimestriel,T3,3èmetrimestre2023,* Données trimestrielles en milliers de XOF,123554282,11117980,,,,8455950,,,,,,,,,
STBC,Trimestriel,T3,3èmetrimestre2022,* Données trimestrielles en milliers de XOF,111024669,10343611,,,,10434537,,,,,,,,,
STBC,Trimestriel,T4,4èmetrimestre2023,* Données trimestrielles en milliers de XOF,46425584,5002097,,,,5113828,,,,,,,,,
STBC,Trimestriel,T4,4èmetrimestre2022,* Données trimestrielles en milliers de XOF,40142271,3020512,,,,3064253,,,,,,,,,
STBC,Autres,T1,2025,* Données trimestrielles en milliers de XOF,61423555,12354560,,,,9405856,,,,,,,,,
SVOC,Annuel,An,2019,* Données annuelles en millions de XOF,12079,-4968,444,-4524,29,-4496,23330,,,,,,,,
SVOC,Annuel,An,2018,* Données annuelles en millions de XOF,14289,-82,-694,-776,981,170,25410,,,,,,,,
SVOC,Annuel,An,2017,* Données annuelles en millions de XOF,12678,892,-1246,-354,-444,-836,17333,,,,,,,,
SVOC,Annuel,An,2016,* Données annuelles en millions de XOF,10216,-298,-330,-629,-25,-688,14693,,,,,,,,
SVOC,Annuel,An,2015,* Données annuelles en millions de XOF,11069,-878,-440,-1318,61,-1292,18892,,,,,,,,
SVOC,Semestriel,S1,1ersemestre2017,* Données semestrielles en XOF,6475016790,538594151,323469252,862063403,,551421877,,,,,,,,,
SVOC,Semestriel,S1,1ersemestre2016,* Données semestrielles en XOF,4974362903,-848548596,58088754,-790495842,,-817847329,,,,,,,,,
SVOC,Trimestriel,T1,1ertrimestre2020,* Données trimestrielles en XOF,2670590558,-1064502118,,,,6663820481,,,,,,,,,
SVOC,Trimestriel,T1,1ertrimestre2019,* Données trimestrielles en XOF,4271340161,-415879813,,,,-544333312,,,,,,,,,
TTLC,Annuel,An,2024,* Données annuelles en millions de XOF,621042,10491,2687,13178,-869,9374,191526,,,,,,,,
TTLC,Annuel,An,2023,* Données annuelles en millions de XOF,578922,12087,-54,12033,91,8709,167625,,,,,,,,
TTLC,Annuel,An,2022,* Données annuelles en millions de XOF,573130,16509,-401,16109,222,12279,159651,,,,,,,,
TTLC,Annuel,An,2021,* Données annuelles en millions de XOF,494433,16088,-310,15778,-288,11143,156297,,,,,,,,
TTLC,Annuel,An,2020,* Données annuelles en millions de XOF,416080,7982,1323,9305,551,7648,128146,,,,,,,,
TTLC,Annuel,An,2019,* Données annuelles en millions de XOF,453131,13479,-787,12692,952,10419,136630,,,,,,,,
TTLC,Annuel,An,2018,* Données annuelles en millions de XOF,425051,15097,-823,14274,1512,11523,141579,,,,,,,,
TTLC,Annuel,An,2017,* Données annuelles en millions de XOF,362203,15152,-566,14586,-55,10422,123059,,,,,,,,
TTLC,Annuel,An,2016,* Données annuelles en millions de XOF,334827,12775,-774,12001,186,8886,106898,,,,,,,,
TTLC,Annuel,An,2015,* Données annuelles en millions de XOF,324279,10683,-2423,8260,110,5415,99149,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2024,* Données semestrielles en millions de XOF,319347,6785,744,7530,,6425,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2023,* Données semestrielles en millions de XOF,293793,6382,195,6577,,5003,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2022,* Données semestrielles en millions de XOF,277751,8808,-66,8742,,6559,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2021,* Données semestrielles en millions de XOF,249028,7786,-70,7716,,5566,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2020,* Données semestrielles en millions de XOF,201397,4374,-383,3990,,3063,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2019,* Données semestrielles en millions de XOF,227251,7780,-426,7354,,5616,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2018,* Données semestrielles en millions de XOF,208556,8453,-362,8091,,7025,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2017,* Données semestrielles en millions de XOF,175488,7146,-378,6768,,4766,,,,,,,,,
TTLC,Semestriel,S1,1ersemestre2016,* Données semestrielles en millions de XOF,164748,-,-,6092,,-,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2025,* Données trimestrielles en millions de XOF,147983,,,3137,,2207,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2024,* Données trimestrielles en millions de XOF,157073,,,3458,,3178,,,,,,,,,
TTLC,Trimestriel,T1,1ertrimestre2023,* Données trimestrielles en millions de XOF,153174,,,3274,,2674,,,,,,,,,
