Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
BICC M,2018-09,-24.15,24986070,4020,5832,4020,5832
BICC M,2018-08,-11.74,91596610,5300,17131,5300,17131
BICC M,2018-07,-18.19,34751975,6005,5616,6005,5616
BICC M,2018-06,11.21,20677880,7340,3231,7340,3231
BICC M,2018-05,-17.5,14964230,6600,2068,6600,2068
BICC M,2018-04,0.06,126394745,8000,16227,8000,16227
BICC M,2018-03,-1.3,74797515,7995,9067,7995,9067
BICC M,2018-02,8.65,264356690,8100,32871,8100,32871
BICC M,2018-01,-12.19,44220155,7455,5395,7455,5395
BICC M,2017-12,1.68,7432807345,8490,874647,8490,874647
BICC M,2017-11,0.0,99523985,8350,11935,8350,11935
BICC M,2017-10,15.97,95468510,8350,11553,8350,9960
BICC M,2017-09,1.41,270065920,7200,33950,72000,3395
BICC M,2017-08,-20.85,689577770,7100,78840,71000,7884
BICC M,2017-07,8.07,30503715,8970,3440,89695,344
BICC M,2017-06,-12.63,65289305,8300,7410,83000,741
BICC M,2017-05,-5.0,91961270,9500,9430,95000,943
BICC M,2017-04,1.01,33377845,10000,3380,100000,338
BICC M,2017-03,4.21,30560705,9900,3170,99000,317
BICC M,2017-02,1.06,128877490,9500,13790,95000,1379
BICC M,2017-01,-4.95,49954650,9400,5480,94000,548
BICC M,2016-12,9.89,3665787755,9890,407230,98900,40723
BICC M,2016-11,1.12,82235350,9000,9190,90000,919
BICC M,2016-10,1.25,1460080425,8900,164980,89000,16498
BICC M,2016-09,-3.47,226432380,8790,25890,87900,2589
BICC M,2016-08,1.17,58408515,9106,6440,91055,644
BICC M,2016-07,-10.0,102621240,9001,10750,90010,1075
BICC M,2016-06,0.61,121658185,10001,11990,100005,1199
BICC M,2016-05,-1.58,188445620,9940,18770,99400,1877
BICC M,2016-04,1.0,152288960,10100,15050,101000,1505
BICC M,2016-03,2.03,163707465,10000,15800,100000,1580
BICC M,2016-02,-1.5,105472870,9801,10920,98010,1092
BICC M,2016-01,-1.49,51555805,9950,5350,99500,535
BICC M,2015-12,2.96,82114025,10100,8220,101000,822
BICC M,2015-11,-2.87,65991820,9810,6720,98100,672
BICC M,2015-10,1.0,279472775,10100,27770,101000,2777
BICC M,2015-09,9.83,313160165,10000,33470,100000,3347
BICC M,2015-08,3.82,48386460,9105,5370,91050,537
BICC M,2015-07,0.79,57417965,8770,6540,87695,654
BICC M,2015-06,-0.57,36826180,8701,4220,87005,422
BICC M,2015-05,-7.88,54302430,8751,5990,87510,599
BICC M,2015-04,15.85,75035300,9500,8850,95000,885
BICC M,2015-03,-8.89,171532095,8200,20770,82000,2077
BICC M,2015-02,13.91,59037875,9000,7070,89995,707
BICC M,2015-01,1.29,70015110,7901,8840,79005,884
BICC M,2014-12,8.11,6071429120,7800,1341160,78000,134116
BICC M,2014-11,1.62,23960740,7215,3330,72150,333
BICC M,2014-10,-0.56,141227285,7100,20250,71000,2025
BICC M,2014-09,5.45,47829655,7140,6910,71400,691
BICC M,2014-08,-1.87,160363945,6771,25200,67710,2520
BICC M,2014-07,0.0,113322675,6900,16760,69000,1676
BICC M,2014-06,4.55,55046075,6900,7980,69000,798
BICC M,2014-05,0.0,142867185,6600,21750,66000,2175
BICC M,2014-04,-0.75,37230380,6600,5560,66000,556
BICC M,2014-03,-1.5,18100975,6650,2700,66500,270
BICC M,2014-02,10.65,91675030,6751,13570,67510,1357
BICC M,2014-01,1.68,62589545,6101,10730,61005,1073
BICC M,2013-12,0.0,102755690,6000,17330,60000,1733
BICC M,2013-11,23.71,115615460,6000,20110,60000,2011
BICC M,2013-10,15.48,117706430,4850,25470,48500,2547
BICC M,2013-09,5.0,13592075,4200,3200,42000,320
BICC M,2013-08,-4.76,24748500,4000,6030,40000,603
BICC M,2013-07,-2.33,35780740,4200,8470,42000,847
BICC M,2013-06,0.92,30432610,4300,7090,43000,709
BICC M,2013-05,0.26,15556385,4261,3660,42605,366
BICC M,2013-04,1.17,3685375,4250,870,42500,87
BICC M,2013-03,-0.21,29646900,4201,7090,42005,709
BICC M,2013-02,12.27,359592675,4210,93730,42100,9373
BICC M,2013-01,2.46,12258000,3750,3310,37500,331
BICC M,2012-12,1.39,18036000,3660,4970,36600,497
BICC M,2012-11,0.28,221158100,3610,57590,36100,5759
BICC M,2012-10,0.0,94174000,3600,26110,36000,2611
