Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BNBC,S1,2022,25470395000.0,,1876429000.0,1230606000.0,
BNBC,S1,2021,23087630000.0,,1482260000.0,931140000.0,
BNBC,S1,2020,19005530000.0,,846780000.0,389550000.0,
BNBC,S1,2019,21708014000.0,,967391000.0,528910000.0,
BNBC,S1,2018,21917361000.0,,1379935000.0,,
BNBC,S1,2017,20155263000.0,,1313543000.0,,
BNBC,S1,2016,22923237000.0,,1116739000.0,,
BNBC,T1,2024,10824381000.0,,,-76181000.0,
BNBC,T1,2023,12386377000.0,,,516579000.0,
BNBC,T1,2022,12841154000.0,,,776631000.0,
BNBC,T1,2021,11403920000.0,,654000000.0,390595000.0,
BNBC,T1,2020,10254720000.0,,497378000.0,,
BNBC,T1,2019,11321340000.0,,690286000.0,406597000.0,
BNBC,T1,2018,11791859000.0,,,561819000.0,
BNBC,T1,2017,10002868000.0,,,548200000.0,
BNBC,T3,2024,32755862000.0,,,-31576000.0,
BNBC,T3,2023,34428743000.0,,,454467000.0,
BNBC,T3,2022,38361914000.0,,,1805367000.0,
BNBC,T3,2021,33829200000.0,,2231540000.0,1422090000.0,
BNBC,T3,2020,29175865000.0,,974597000.0,363520000.0,
BNBC,T3,2019,31114016000.0,,1108326000.0,,
BNBC,T3,2018,33301656000.0,,2103279000.0,,
BNBC,T3,2017,30847623000.0,,,1251514000.0,
BNBC,T3,2016,34753834000.0,,,1594166000.0,
BOAB,An,2024,46527000000.0,940187000000.0,21580000000.0,19647000000.0,
BOAB,An,2023,47832000000.0,906824000000.0,22307000000.0,21529000000.0,
BOAB,An,2022,46413000000.0,907782000000.0,19529000000.0,19143000000.0,
BOAB,An,2021,45259000000.0,884426000000.0,19795000000.0,16664000000.0,
BOAB,An,2020,45286000000.0,902792000000.0,19456000000.0,13312000000.0,
BOAB,An,2019,41388000000.0,920808000000.0,18698000000.0,15002000000.0,
BOAB,An,2018,39387000000.0,861015000000.0,16858000000.0,12724000000.0,
BOAB,An,2017,42156000000.0,972549000000.0,18494000000.0,12523000000.0,
BOAB,An,2016,39335000000.0,932977000000.0,18728000000.0,16139000000.0,
BOAB,An,2015,39186000000.0,850524000000.0,20061000000.0,12533000000.0,
BOAB,S1,2024,23185000000.0,,11731000000.0,10929000000.0,
BOAB,S1,2023,23991000000.0,,12237000000.0,12538000000.0,
BOAB,S1,2022,21803000000.0,,10393000000.0,10413000000.0,
BOAB,S1,2021,22242000000.0,,11213000000.0,9054000000.0,
BOAB,S1,2020,22950000000.0,,11481000000.0,8081000000.0,
BOAB,S1,2019,19448000000.0,,8650000000.0,7957000000.0,
BOAB,S1,2018,19911000000.0,,9223000000.0,6805000000.0,
BOAB,S1,2017,17857000000.0,,7720000000.0,7281000000.0,
BOAB,S1,2016,17930000000.0,,8004000000.0,7717000000.0,
BOAB,T1,2024,10897000000.0,,,4843000000.0,
BOAB,T1,2023,11361000000.0,,,5844000000.0,
BOAB,T1,2022,10651000000.0,,,5135000000.0,
BOAB,T1,2021,10367000000.0,,,4357000000.0,
BOAB,T1,2020,11162000000.0,,,4146000000.0,
BOAB,T1,2019,9144000000.0,,,3303000000.0,
BOAB,T1,2018,9910000000.0,,,3202000000.0,
BOAB,T1,2017,8886000000.0,,,2904000000.0,
BOAB,T1,2016,8386000000.0,,,2203000000.0,
BOAB,T3,2024,34156000000.0,,,14015000000.0,
